name,path,sourceUrl,imageUrl,provider
敖瑞鹏,assets/people/敖瑞鹏.jpg,https://baike.baidu.com/view/2266671.htm,"https://bkimg.cdn.bcebos.com/pic/54fbb2fb43166d224f4a6c9d956a1ef790529822742a?x-bce-process=image/format,f_auto",KCrush
敖子逸,assets/people/敖子逸.jpg,https://baike.baidu.com/item/%E6%95%96%E5%AD%90%E9%80%B8,"https://bkimg.cdn.bcebos.com/pic/7aec54e736d12f2eb9387d09cc9ac2628535e5ddc21b?x-bce-process=image/format,f_auto",KCrush
白敬亭,assets/people/白敬亭.jpg,https://zh.wikipedia.org/wiki/%E7%99%BD%E6%95%AC%E4%BA%AD,https://upload.wikimedia.org/wikipedia/commons/7/72/Bai_Jingting_2024.jpg,ZH Wikipedia
白宇,assets/people/白宇.jpg,https://baike.baidu.com/item/%E7%99%BD%E5%AE%87,"https://bkimg.cdn.bcebos.com/pic/fc1f4134970a304e251ff191e898b086c9177f3ef602?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
毕雯珺,assets/people/毕雯珺.jpg,https://zh.wikipedia.org/wiki/%E7%95%A2%E9%9B%AF%E7%8F%BA,https://upload.wikimedia.org/wikipedia/commons/d/de/%E5%BE%AE%E4%BF%AE%E4%BA%86%E4%B8%80%E5%BC%A0%E5%9B%BE%EF%BC%8C%E8%87%AA%E8%A1%8C%E6%83%B3%E8%B1%A1%E7%A4%BE%E9%95%BF%E7%A9%BF%E7%99%BD%E5%A4%A7%E8%A4%82%E7%9A%84%E6%A0%B7%E5%AD%90%E5%90%A7%EF%BC%81%28%E5%81%B6%E5%83%8F%E7%BB%83%E4%B9%A0%E7%94%9F_%E6%AF%95%E9%9B%AF%E7%8F%BA%29.jpg,ZH Wikipedia
边程,assets/people/边程.jpg,https://zh.wikipedia.org/wiki/%E8%BE%B9%E7%A8%8B,https://upload.wikimedia.org/wikipedia/commons/7/7f/Bian_Cheng.jpg,ZH Wikipedia
卜凡,assets/people/卜凡.jpg,https://baike.baidu.com/item/%E5%8D%9C%E5%87%A1,"https://bkimg.cdn.bcebos.com/pic/91529822720e0cf3d7ca8ec5381ee51fbe096b637cce?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
蔡徐坤,assets/people/蔡徐坤.jpg,https://zh.wikipedia.org/wiki/%E8%94%A1%E5%BE%90%E5%9D%A4,https://upload.wikimedia.org/wikipedia/commons/d/d5/Cai_Xukun_in_2018.jpg,ZH Wikipedia
曾舜晞,assets/people/曾舜晞.jpg,https://baike.baidu.com/item/%E6%9B%BE%E8%88%9C%E6%99%9E,"https://bkimg.cdn.bcebos.com/pic/ca1349540923dd54564e4a186042a4de9c82d158e225?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
车慧轩,assets/people/车慧轩.jpg,https://baike.baidu.com/item/%E8%BD%A6%E6%85%A7%E8%BD%A9/23299557,"https://bkimg.cdn.bcebos.com/pic/cdbf6c81800a19d8af043a333dfa828ba61e4684?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
车银优,assets/people/车银优.jpg,https://zh.wikipedia.org/wiki/%E8%BB%8A%E9%8A%80%E5%84%AA,https://upload.wikimedia.org/wikipedia/commons/3/3d/240301_Cha_Eun-woo.jpg,ZH Wikipedia
陈飞宇,assets/people/陈飞宇.jpg,https://baike.baidu.com/item/%E9%99%88%E9%A3%9E%E5%AE%87,"https://bkimg.cdn.bcebos.com/pic/d000baa1cd11728b47109dbc41afd4cec3fdfd0386a8?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
陈靖可,assets/people/陈靖可.jpg,https://baike.baidu.com/item/%E9%99%88%E9%9D%96%E5%8F%AF,"https://bkimg.cdn.bcebos.com/pic/94cad1c8a786c9177f3e69f65d6567cf3bc79e3df9fe?x-bce-process=image/format,f_auto",KCrush
